ID,Category,Gender,Urgency,Duration,Amount,Locality
60,Education,Female,Immediate,Annually,16000,Suburban
61,DisasterRF,Male,Twoweeks,Quarterly,19000,Rural
62,Women,Female,Oneweek,Annually,8000,Rural
63,Women,Male,Twoweeks,Monthly,3000,Rural
64,OldAge,Male,Twoweeks,Quarterly,16000,Urban
65,FoodForNeed,Female,Oneweek,Annually,17000,Rural
66,OldAge,Male,Twoweeks,Monthly,8000,Rural
67,OldAge,Male,Twoweeks,Annually,15000,Suburban
68,OldAge,Female,Oneweek,Quarterly,9000,Rural
69,Medical,Male,Immediate,Quarterly,2000,Suburban
70,Medical,Male,Twoweeks,Quarterly,2000,Urban
71,DisasterRF,Female,Oneweek,Quarterly,15000,Suburban
72,DisasterRF,Male,Immediate,Annually,11000,Rural
73,Education,Male,Immediate,Annually,12000,Rural
74,DisasterRF,Female,Oneweek,Quarterly,9000,Urban
75,Women,Male,Twoweeks,Monthly,7000,Rural
76,Women,Female,Twoweeks,Annually,6000,Urban
77,OldAge,Male,Oneweek,Quarterly,10000,Rural
78,FoodForNeed,Female,Immediate,Monthly,3000,Suburban
79,Education,Male,Immediate,Quarterly,20000,Rural
80,Women,Female,Twoweeks,Annually,5000,Rural
81,Women,Female,Immediate,Quarterly,10000,Urban
82,OldAge,Male,Oneweek,Annually,11000,Urban
83,Medical,Female,Twoweeks,Quarterly,17000,Rural
84,Medical,Male,Twoweeks,Monthly,16000,Rural
85,DisasterRF,Male,Oneweek,Annually,13000,Urban
86,DisasterRF,Female,Immediate,Annually,16000,Urban
87,Education,Female,Immediate,Monthly,20000,Rural
88,DisasterRF,Male,Immediate,Quarterly,12000,Urban
89,Women,Female,Twoweeks,Annually,4000,Rural
90,Women,Male,Oneweek,Monthly,15000,Rural
91,OldAge,Female,Twoweeks,Annually,2000,Urban
92,FoodForNeed,Male,Twoweeks,Quarterly,12000,Suburban
93,Medical,Male,Oneweek,Monthly,10000,Urban
94,DisasterRF,Male,Oneweek,Annually,11000,Suburban
95,OldAge,Female,Twoweeks,Quarterly,1000,Urban
96,Medical,Male,Twoweeks,Annually,14000,Suburban
97,DisasterRF,Male,Oneweek,Monthly,9000,Urban
98,Medical,Female,Immediate,Quarterly,1000,Suburban
99,DisasterRF,Male,Immediate,Annually,19000,Urban
100,Education,Female,Oneweek,Annually,16000,Rural
101,Women,Male,Oneweek,Monthly,16000,Urban
102,Women,Male,Immediate,Annually,7000,Suburban
103,Medical,Female,Twoweeks,Quarterly,13000,Urban
104,DisasterRF,Male,Immediate,Quarterly,9000,Rural
105,Medical,Male,Immediate,Quarterly,5000,Urban
106,DisasterRF,Female,Oneweek,Quarterly,3000,Urban
107,DisasterRF,Male,Twoweeks,Annually,5000,Urban
108,Education,Female,Twoweeks,Monthly,14000,Urban
109,DisasterRF,Male,Twoweeks,Annually,1000,Urban
110,Women,Female,Oneweek,Quarterly,4000,Urban
111,Women,Male,Immediate,Annually,4000,Rural
112,OldAge,Female,Immediate,Quarterly,7000,Rural
113,FoodForNeed,Male,Twoweeks,Monthly,9000,Rural
114,OldAge,Male,Oneweek,Annually,4000,Rural
115,Medical,Female,Oneweek,Monthly,20000,Urban
116,Medical,Male,Immediate,Monthly,6000,Rural
117,DisasterRF,Female,Oneweek,Annually,9000,Rural
118,DisasterRF,Female,Immediate,Quarterly,4000,Urban
119,Education,Male,Twoweeks,Monthly,20000,Urban
120,DisasterRF,Female,Oneweek,Quarterly,2000,Suburban
121,Women,Male,Twoweeks,Annually,6000,Rural
122,Women,Male,Oneweek,Annually,9000,Urban
123,OldAge,Female,Immediate,Monthly,20000,Rural
124,FoodForNeed,Female,Immediate,Annually,2000,Rural
125,Education,Male,Immediate,Quarterly,13000,Rural
126,Medical,Male,Oneweek,Annually,20000,Urban
127,DisasterRF,Female,Twoweeks,Annually,19000,Urban
128,Education,Male,Immediate,Annually,20000,Rural
129,Medical,Female,Oneweek,Quarterly,2000,Urban
130,Medical,Male,Twoweeks,Annually,19000,Suburban
131,DisasterRF,Female,Twoweeks,Monthly,8000,Urban
132,DisasterRF,Male,Oneweek,Annually,14000,Urban
133,Education,Male,Immediate,Quarterly,4000,Urban
134,DisasterRF,Male,Oneweek,Monthly,6000,Urban
135,Women,Female,Oneweek,Monthly,10000,Suburban
136,Women,Male,Oneweek,Monthly,12000,Suburban
137,OldAge,Male,Oneweek,Monthly,11000,Rural
138,FoodForNeed,Female,Twoweeks,Quarterly,7000,Urban
139,Medical,Male,Twoweeks,Annually,16000,Rural
140,DisasterRF,Female,Twoweeks,Quarterly,14000,Urban
141,Education,Male,Oneweek,Quarterly,3000,Suburban
142,Women,Male,Immediate,Quarterly,8000,Urban
143,Women,Female,Twoweeks,Quarterly,15000,Urban
144,DisasterRF,Female,Oneweek,Annually,6000,Rural
145,Education,Male,Twoweeks,Monthly,20000,Rural
146,Women,Female,Oneweek,Annually,6000,Urban
147,Women,Female,Immediate,Monthly,11000,Urban
148,Medical,Male,Immediate,Quarterly,15000,Urban
149,DisasterRF,Female,Oneweek,Monthly,4000,Urban
150,DisasterRF,Male,Twoweeks,Quarterly,4000,Urban
151,Education,Male,Immediate,Monthly,1000,Urban
152,DisasterRF,Female,Oneweek,Annually,10000,Rural
153,Women,Male,Twoweeks,Monthly,11000,Urban
154,Women,Female,Twoweeks,Annually,9000,Suburban
155,OldAge,Male,Twoweeks,Monthly,13000,Urban
156,FoodForNeed,Male,Oneweek,Monthly,15000,Suburban
157,Medical,Female,Immediate,Quarterly,15000,Rural
158,Medical,Female,Twoweeks,Monthly,15000,Rural
159,DisasterRF,Male,Immediate,Annually,11000,Rural
160,DisasterRF,Female,Twoweeks,Quarterly,3000,Urban
161,Education,Male,Twoweeks,Annually,4000,Urban
162,DisasterRF,Female,Immediate,Quarterly,18000,Suburban
163,Women,Male,Immediate,Annually,2000,Rural
164,Women,Female,Twoweeks,Annually,4000,Rural
165,OldAge,Male,Twoweeks,Quarterly,5000,Suburban
166,FoodForNeed,Female,Oneweek,Monthly,1000,Urban
167,Medical,Male,Twoweeks,Annually,17000,Rural
168,DisasterRF,Male,Immediate,Monthly,8000,Urban
169,Medical,Female,Immediate,Annually,17000,Suburban
170,Medical,Female,Immediate,Quarterly,2000,Urban
171,DisasterRF,Male,Oneweek,Annually,14000,Rural
172,DisasterRF,Female,Twoweeks,Monthly,4000,Suburban
173,Education,Male,Twoweeks,Quarterly,8000,Urban
174,DisasterRF,Female,Twoweeks,Annually,13000,Rural
175,Women,Male,Twoweeks,Monthly,12000,Suburban
176,Women,Male,Oneweek,Annually,10000,Urban
177,OldAge,Male,Oneweek,Annually,20000,Rural
178,FoodForNeed,Female,Twoweeks,Monthly,1000,Urban
179,Medical,Male,Twoweeks,Annually,11000,Urban
180,DisasterRF,Male,Immediate,Quarterly,14000,Urban
181,Medical,Female,Oneweek,Annually,17000,Urban
182,DisasterRF,Male,Immediate,Quarterly,8000,Rural
183,Education,Female,Oneweek,Annually,17000,Suburban
184,Women,Female,Immediate,Monthly,20000,Urban
185,Women,Male,Oneweek,Quarterly,1000,Suburban
186,DisasterRF,Female,Oneweek,Annually,9000,Urban
187,Medical,Male,Immediate,Monthly,20000,Urban
188,Medical,Male,Immediate,Quarterly,6000,Suburban
189,DisasterRF,Female,Immediate,Annually,7000,Suburban
190,DisasterRF,Male,Oneweek,Monthly,2000,Urban
191,Education,Female,Twoweeks,Annually,3000,Rural
192,DisasterRF,Female,Oneweek,Quarterly,18000,Urban
193,Women,Male,Oneweek,Annually,3000,Suburban
194,Women,Male,Twoweeks,Monthly,2000,Urban
195,OldAge,Female,Oneweek,Quarterly,19000,Suburban
196,FoodForNeed,Male,Immediate,Quarterly,8000,Rural
197,Medical,Male,Oneweek,Monthly,19000,Suburban
198,Medical,Female,Oneweek,Annually,8000,Urban
199,DisasterRF,Male,Twoweeks,Quarterly,6000,Rural
200,DisasterRF,Male,Oneweek,Monthly,9000,Suburban
201,Education,Female,Oneweek,Monthly,9000,Rural
202,DisasterRF,Male,Immediate,Monthly,20000,Suburban
203,Women,Male,Twoweeks,Monthly,13000,Suburban
204,Women,Female,Oneweek,Annually,16000,Rural
205,OldAge,Female,Oneweek,Annually,12000,Rural
206,FoodForNeed,Female,Twoweeks,Monthly,16000,Urban
207,Medical,Male,Immediate,Annually,18000,Rural
208,DisasterRF,Female,Oneweek,Quarterly,18000,Rural
209,Medical,Male,Immediate,Annually,3000,Rural
210,Medical,Male,Twoweeks,Quarterly,18000,Rural
211,DisasterRF,Female,Oneweek,Annually,4000,Rural
212,DisasterRF,Female,Immediate,Monthly,17000,Urban
213,Education,Male,Twoweeks,Monthly,13000,Rural
214,DisasterRF,Male,Oneweek,Monthly,2000,Suburban
215,Women,Female,Twoweeks,Monthly,13000,Urban
216,Women,Male,Oneweek,Annually,14000,Suburban
217,OldAge,Male,Oneweek,Monthly,14000,Suburban
218,FoodForNeed,Female,Immediate,Annually,9000,Rural
219,Education,Female,Twoweeks,Monthly,15000,Rural
220,Women,Male,Immediate,Annually,7000,Rural
221,Women,Male,Twoweeks,Monthly,14000,Rural
222,Medical,Male,Oneweek,Monthly,3000,Suburban
223,DisasterRF,Female,Twoweeks,Annually,16000,Urban
224,DisasterRF,Male,Twoweeks,Monthly,17000,Suburban
225,Education,Male,Oneweek,Annually,20000,Rural
226,DisasterRF,Female,Immediate,Quarterly,2000,Urban
227,Women,Male,Oneweek,Annually,11000,Rural
228,Women,Male,Twoweeks,Monthly,8000,Urban
229,OldAge,Female,Oneweek,Annually,2000,Suburban
230,FoodForNeed,Female,Immediate,Annually,4000,Suburban
231,Medical,Male,Twoweeks,Monthly,10000,Rural
232,Medical,Male,Immediate,Annually,16000,Suburban
233,DisasterRF,Female,Oneweek,Monthly,13000,Rural
234,DisasterRF,Female,Twoweeks,Quarterly,3000,Rural
235,Education,Male,Twoweeks,Monthly,4000,Rural
236,DisasterRF,Male,Twoweeks,Monthly,10000,Suburban
237,Women,Female,Oneweek,Annually,11000,Suburban
238,Women,Male,Oneweek,Monthly,19000,Urban
239,OldAge,Male,Immediate,Annually,5000,Suburban
240,FoodForNeed,Female,Oneweek,Monthly,20000,Suburban
241,Education,Male,Oneweek,Quarterly,14000,Urban
242,Medical,Male,Immediate,Monthly,16000,Urban
243,Medical,Female,Twoweeks,Annually,16000,Suburban
244,DisasterRF,Male,Twoweeks,Monthly,1000,Suburban
245,DisasterRF,Female,Oneweek,Monthly,10000,Rural
246,Education,Female,Twoweeks,Annually,15000,Rural
247,DisasterRF,Male,Twoweeks,Quarterly,10000,Suburban
248,Women,Female,Oneweek,Monthly,15000,Suburban
249,Women,Male,Twoweeks,Annually,12000,Urban
250,OldAge,Male,Twoweeks,Monthly,10000,Suburban
251,FoodForNeed,Female,Oneweek,Quarterly,12000,Urban
252,Education,Female,Immediate,Monthly,11000,Rural
253,Women,Male,Oneweek,Monthly,4000,Rural
254,Women,Male,Oneweek,Monthly,7000,Urban
255,DisasterRF,Female,Twoweeks,Monthly,4000,Suburban
256,DisasterRF,Male,Twoweeks,Monthly,16000,Suburban
257,Education,Male,Oneweek,Annually,14000,Urban
258,DisasterRF,Female,Oneweek,Monthly,2000,Rural
259,Women,Female,Twoweeks,Annually,15000,Urban
260,Women,Female,Immediate,Monthly,12000,Suburban
261,OldAge,Male,Oneweek,Quarterly,2000,Rural
262,FoodForNeed,Male,Immediate,Monthly,9000,Urban
263,Education,Female,Twoweeks,Annually,11000,Rural
264,Medical,Male,Oneweek,Monthly,16000,Suburban
265,DisasterRF,Male,Immediate,Annually,20000,Suburban
266,Education,Male,Oneweek,Annually,7000,Suburban
267,Medical,Female,Oneweek,Monthly,1000,Suburban
268,Medical,Male,Oneweek,Quarterly,16000,Suburban
269,DisasterRF,Male,Oneweek,Quarterly,9000,Rural
270,DisasterRF,Female,Oneweek,Monthly,10000,Suburban
271,Education,Male,Twoweeks,Quarterly,1000,Suburban
272,DisasterRF,Male,Twoweeks,Monthly,9000,Rural
273,Women,Female,Oneweek,Quarterly,18000,Urban
274,Women,Female,Oneweek,Quarterly,5000,Rural
275,OldAge,Male,Oneweek,Annually,6000,Urban
276,FoodForNeed,Male,Oneweek,Monthly,20000,Suburban
277,Education,Male,Oneweek,Quarterly,15000,Rural
278,Women,Male,Oneweek,Quarterly,5000,Urban
279,Women,Female,Immediate,Annually,20000,Suburban
280,Education,Male,Immediate,Quarterly,20000,Rural
281,Medical,Female,Immediate,Monthly,7000,Suburban
282,Medical,Male,Oneweek,Annually,18000,Rural
283,DisasterRF,Male,Twoweeks,Monthly,11000,Suburban
284,DisasterRF,Female,Oneweek,Quarterly,12000,Urban
285,Education,Female,Oneweek,Quarterly,16000,Suburban
286,DisasterRF,Male,Oneweek,Quarterly,14000,Rural
287,Women,Male,Twoweeks,Monthly,11000,Rural
288,Women,Female,Twoweeks,Annually,14000,Suburban
289,OldAge,Female,Twoweeks,Annually,16000,Urban
290,FoodForNeed,Female,Twoweeks,Monthly,7000,Suburban
291,Medical,Female,Oneweek,Annually,11000,Suburban
292,DisasterRF,Female,Immediate,Monthly,14000,Urban
293,Medical,Male,Immediate,Annually,4000,Rural
294,Medical,Male,Immediate,Quarterly,16000,Urban
295,DisasterRF,Male,Oneweek,Monthly,12000,Rural
296,DisasterRF,Female,Twoweeks,Annually,17000,Rural
297,Education,Female,Twoweeks,Quarterly,4000,Urban
298,DisasterRF,Male,Twoweeks,Annually,15000,Suburban
299,Women,Female,Twoweeks,Monthly,19000,Rural
300,Women,Female,Oneweek,Annually,17000,Urban
301,OldAge,Male,Twoweeks,Quarterly,14000,Urban
302,FoodForNeed,Female,Twoweeks,Annually,11000,Urban
303,Medical,Male,Twoweeks,Quarterly,18000,Rural
304,DisasterRF,Male,Twoweeks,Monthly,20000,Rural
305,Education,Male,Oneweek,Annually,4000,Urban
306,Women,Female,Immediate,Quarterly,16000,Suburban
307,Women,Female,Immediate,Monthly,9000,Suburban
308,Education,Female,Immediate,Quarterly,14000,Rural
309,Women,Female,Twoweeks,Monthly,19000,Urban
310,Women,Female,Oneweek,Monthly,10000,Urban
311,Medical,Male,Immediate,Monthly,15000,Suburban
312,DisasterRF,Male,Oneweek,Monthly,18000,Urban
313,Medical,Male,Oneweek,Annually,2000,Suburban
314,Medical,Female,Twoweeks,Quarterly,17000,Rural
315,DisasterRF,Male,Twoweeks,Monthly,2000,Urban
316,DisasterRF,Male,Oneweek,Quarterly,2000,Rural
317,Education,Female,Oneweek,Annually,1000,Rural
318,DisasterRF,Male,Immediate,Annually,17000,Rural
319,Women,Male,Oneweek,Monthly,1000,Rural
320,Women,Female,Oneweek,Annually,4000,Suburban
321,OldAge,Female,Twoweeks,Monthly,15000,Suburban
322,FoodForNeed,Male,Twoweeks,Quarterly,18000,Suburban
323,Medical,Male,Twoweeks,Annually,11000,Suburban
324,DisasterRF,Female,Twoweeks,Monthly,19000,Rural
325,Education,Female,Immediate,Annually,2000,Rural
326,Medical,Male,Immediate,Quarterly,10000,Urban
327,Medical,Male,Immediate,Quarterly,4000,Urban
328,DisasterRF,Female,Immediate,Annually,3000,Suburban
329,DisasterRF,Female,Oneweek,Monthly,9000,Urban
330,Education,Female,Oneweek,Quarterly,6000,Urban
331,DisasterRF,Female,Twoweeks,Monthly,10000,Suburban
332,Women,Female,Immediate,Quarterly,4000,Rural
333,Women,Male,Twoweeks,Annually,6000,Suburban
334,OldAge,Male,Twoweeks,Monthly,11000,Rural
335,FoodForNeed,Male,Oneweek,Annually,10000,Urban
336,Medical,Female,Immediate,Monthly,4000,Rural
337,Medical,Male,Twoweeks,Annually,6000,Urban
338,DisasterRF,Male,Immediate,Quarterly,7000,Suburban
339,DisasterRF,Female,Oneweek,Quarterly,5000,Rural
340,Education,Female,Twoweeks,Quarterly,12000,Suburban
341,DisasterRF,Female,Oneweek,Monthly,20000,Urban
342,Women,Male,Twoweeks,Monthly,14000,Suburban
343,Women,Female,Immediate,Monthly,10000,Rural
344,OldAge,Male,Immediate,Annually,11000,Suburban
345,FoodForNeed,Male,Immediate,Quarterly,2000,Suburban
346,Medical,Male,Immediate,Quarterly,4000,Urban
347,DisasterRF,Female,Immediate,Quarterly,4000,Urban
348,OldAge,Female,Twoweeks,Annually,4000,Urban
349,FoodForNeed,Female,Twoweeks,Monthly,16000,Rural
350,Medical,Female,Oneweek,Quarterly,20000,Suburban
351,DisasterRF,Female,Immediate,Annually,2000,Suburban
352,Medical,Male,Twoweeks,Monthly,15000,Rural
353,DisasterRF,Male,Oneweek,Quarterly,19000,Urban
354,Medical,Male,Immediate,Monthly,5000,Urban
355,Medical,Female,Twoweeks,Quarterly,1000,Urban
356,DisasterRF,Male,Twoweeks,Annually,5000,Suburban
357,DisasterRF,Male,Immediate,Monthly,18000,Rural
358,Education,Female,Oneweek,Quarterly,14000,Urban
359,DisasterRF,Male,Oneweek,Quarterly,18000,Suburban
360,Women,Male,Twoweeks,Monthly,3000,Urban
361,Women,Female,Twoweeks,Quarterly,4000,Suburban
362,OldAge,Male,Immediate,Monthly,1000,Suburban
363,FoodForNeed,Female,Twoweeks,Annually,8000,Urban
364,Education,Female,Oneweek,Monthly,3000,Urban
365,Women,Male,Oneweek,Quarterly,3000,Urban
366,Women,Female,Oneweek,Monthly,15000,Suburban
367,Medical,Male,Immediate,Annually,11000,Rural
368,DisasterRF,Male,Twoweeks,Annually,6000,Urban
369,DisasterRF,Male,Twoweeks,Monthly,2000,Urban
370,Education,Female,Immediate,Monthly,8000,Urban
371,DisasterRF,Female,Twoweeks,Quarterly,5000,Suburban
372,Women,Female,Twoweeks,Monthly,13000,Urban
373,Women,Female,Oneweek,Quarterly,16000,Suburban
374,OldAge,Female,Oneweek,Annually,5000,Rural
375,FoodForNeed,Male,Twoweeks,Monthly,14000,Urban
376,Education,Male,Immediate,Monthly,9000,Urban
377,Medical,Male,Oneweek,Quarterly,10000,Urban
378,Medical,Female,Twoweeks,Monthly,11000,Urban
379,DisasterRF,Male,Oneweek,Monthly,13000,Suburban
380,DisasterRF,Male,Twoweeks,Quarterly,13000,Suburban
381,Education,Female,Twoweeks,Monthly,7000,Suburban
382,DisasterRF,Male,Immediate,Annually,4000,Suburban
383,Women,Female,Oneweek,Monthly,6000,Urban
384,Women,Female,Twoweeks,Annually,7000,Urban
385,OldAge,Male,Twoweeks,Annually,12000,Urban
386,FoodForNeed,Female,Oneweek,Monthly,19000,Rural
387,Education,Male,Oneweek,Quarterly,4000,Urban
388,Medical,Male,Twoweeks,Quarterly,16000,Rural
389,Medical,Male,Immediate,Annually,4000,Rural
390,DisasterRF,Female,Immediate,Monthly,3000,Urban
391,DisasterRF,Female,Twoweeks,Annually,6000,Urban
392,Education,Female,Oneweek,Monthly,5000,Rural
393,DisasterRF,Female,Twoweeks,Annually,15000,Urban
394,Women,Female,Immediate,Monthly,6000,Suburban
395,Women,Male,Twoweeks,Quarterly,2000,Urban
396,OldAge,Male,Twoweeks,Monthly,14000,Suburban
397,FoodForNeed,Male,Oneweek,Quarterly,14000,Suburban
398,Medical,Female,Twoweeks,Quarterly,18000,Urban
399,Medical,Male,Twoweeks,Quarterly,12000,Suburban
400,DisasterRF,Male,Immediate,Annually,3000,Urban
401,DisasterRF,Female,Immediate,Monthly,15000,Urban
402,Education,Male,Twoweeks,Quarterly,7000,Urban
403,DisasterRF,Male,Oneweek,Annually,15000,Rural
404,Women,Female,Immediate,Monthly,5000,Urban
405,Women,Male,Immediate,Quarterly,11000,Suburban
406,OldAge,Male,Immediate,Annually,18000,Suburban
407,FoodForNeed,Female,Twoweeks,Quarterly,10000,Urban
408,OldAge,Male,Immediate,Monthly,1000,Rural
409,FoodForNeed,Female,Oneweek,Annually,6000,Urban
410,Medical,Male,Twoweeks,Monthly,10000,Suburban
411,Medical,Male,Twoweeks,Annually,13000,Rural
412,DisasterRF,Female,Oneweek,Quarterly,12000,Urban
413,DisasterRF,Female,Immediate,Annually,4000,Rural
414,Education,Male,Immediate,Annually,8000,Rural
415,DisasterRF,Male,Immediate,Quarterly,3000,Rural
416,Women,Female,Oneweek,Quarterly,2000,Suburban
417,Women,Female,Twoweeks,Monthly,2000,Suburban
418,OldAge,Female,Twoweeks,Quarterly,2000,Rural
419,FoodForNeed,Female,Immediate,Monthly,10000,Urban
420,Education,Female,Immediate,Monthly,4000,Rural
421,Medical,Male,Oneweek,Quarterly,9000,Suburban
422,Medical,Male,Twoweeks,Monthly,20000,Urban
423,DisasterRF,Male,Immediate,Monthly,16000,Urban
424,DisasterRF,Female,Immediate,Annually,14000,Rural
425,Education,Male,Immediate,Annually,5000,Rural
426,DisasterRF,Male,Oneweek,Monthly,11000,Rural
427,Women,Female,Immediate,Quarterly,7000,Suburban
428,Women,Male,Immediate,Monthly,1000,Urban
429,OldAge,Male,Immediate,Monthly,17000,Rural
430,FoodForNeed,Female,Oneweek,Quarterly,3000,Suburban
431,OldAge,Female,Twoweeks,Monthly,5000,Rural
432,FoodForNeed,Male,Immediate,Annually,3000,Rural
433,Education,Male,Twoweeks,Monthly,5000,Suburban
434,Medical,Female,Immediate,Annually,3000,Urban
435,Medical,Female,Oneweek,Annually,8000,Suburban
436,DisasterRF,Male,Twoweeks,Monthly,4000,Rural
437,DisasterRF,Male,Immediate,Quarterly,1000,Urban
438,Education,Female,Immediate,Quarterly,18000,Suburban
439,DisasterRF,Female,Twoweeks,Monthly,2000,Urban
440,Women,Female,Twoweeks,Monthly,9000,Suburban
441,Women,Female,Oneweek,Annually,11000,Suburban
442,OldAge,Female,Immediate,Monthly,9000,Urban
443,FoodForNeed,Male,Twoweeks,Quarterly,12000,Urban
444,Education,Male,Immediate,Monthly,17000,Urban
445,Women,Male,Immediate,Quarterly,12000,Suburban
446,Women,Female,Oneweek,Monthly,7000,Suburban
447,DisasterRF,Male,Immediate,Annually,1000,Urban
448,DisasterRF,Male,Twoweeks,Annually,18000,Rural
449,Education,Female,Immediate,Monthly,19000,Rural
450,DisasterRF,Female,Twoweeks,Quarterly,11000,Rural
451,Women,Male,Twoweeks,Annually,6000,Rural
452,Women,Female,Oneweek,Monthly,8000,Urban
453,OldAge,Male,Twoweeks,Quarterly,7000,Suburban
454,FoodForNeed,Male,Twoweeks,Annually,5000,Urban
455,OldAge,Male,Immediate,Monthly,19000,Urban
456,FoodForNeed,Female,Twoweeks,Quarterly,3000,Rural
457,Medical,Female,Immediate,Annually,8000,Suburban
458,Medical,Female,Oneweek,Monthly,19000,Urban
459,DisasterRF,Female,Immediate,Annually,15000,Suburban
460,DisasterRF,Female,Immediate,Quarterly,3000,Rural
461,Education,Male,Immediate,Monthly,20000,Urban
462,DisasterRF,Male,Immediate,Quarterly,20000,Suburban
463,Women,Male,Oneweek,Monthly,10000,Urban
464,Women,Female,Immediate,Quarterly,13000,Urban
465,OldAge,Male,Immediate,Annually,9000,Rural
466,FoodForNeed,Male,Twoweeks,Monthly,6000,Rural
467,Education,Female,Immediate,Annually,13000,Rural
468,Women,Female,Oneweek,Monthly,16000,Urban
469,Women,Male,Twoweeks,Quarterly,1000,Rural
470,OldAge,Female,Twoweeks,Annually,6000,Urban
471,FoodForNeed,Male,Immediate,Annually,19000,Rural
472,Education,Male,Twoweeks,Monthly,7000,Rural
473,Medical,Female,Oneweek,Quarterly,14000,Urban
474,Medical,Female,Immediate,Annually,1000,Rural
475,DisasterRF,Male,Immediate,Monthly,1000,Rural
476,DisasterRF,Male,Immediate,Quarterly,9000,Urban
477,Education,Female,Twoweeks,Quarterly,18000,Rural
478,DisasterRF,Female,Oneweek,Quarterly,14000,Urban
479,Women,Female,Immediate,Annually,14000,Suburban
480,Women,Female,Immediate,Quarterly,10000,Rural
481,OldAge,Female,Twoweeks,Annually,15000,Rural
482,Education,Male,Immediate,Monthly,8000,Rural
483,Women,Male,Immediate,Annually,3000,Rural
484,Women,Male,Immediate,Quarterly,6000,Urban
485,Medical,Female,Immediate,Monthly,8000,Suburban
486,DisasterRF,Male,Immediate,Quarterly,15000,Suburban
487,DisasterRF,Male,Oneweek,Quarterly,3000,Suburban
488,Education,Female,Twoweeks,Quarterly,14000,Rural
489,DisasterRF,Female,Immediate,Annually,17000,Urban
490,Women,Male,Twoweeks,Quarterly,17000,Rural
491,Women,Male,Oneweek,Annually,18000,Suburban
492,OldAge,Female,Twoweeks,Monthly,1000,Suburban
493,FoodForNeed,Female,Immediate,Annually,7000,Suburban
